101;20;18;3;
102;6;6;6;
103;19;18;3;
104;22;20;3;
105;17;14;3;
106;10;10;3;
107;28;23;3;
108;19;14;3;
109;41;38;7;
110;29;25;3;
111;19;14;2;
112;7;5;3;
113;13;13;3;
114;24;22;3;
115;21;21;3;
116;21;19;6;
117;22;16;3;
118;23;17;3;
119;16;12;3;
120;13;12;3;
121;26;23;3;
122;22;18;3;
123;69;48;7;
124;18;18;3;
125;48;41;4;
126;16;13;3;
127;28;24;3;
128;27;22;3;
129;33;28;3;
130;17;14;6;
131;14;12;3;
201;23;18;3;
202;21;20;3;
203;25;23;3;
204;23;20;3;
205;17;10;3;
206;46;42;7;
207;29;24;3;
208;10;10;3;
209;14;12;3;
210;15;14;3;
211;23;21;3;
212;18;17;3;
213;4;3;5;
214;8;7;3;
215;7;5;2;
216;1;1;2;
217;20;19;3;
218;28;22;3;
219;11;11;3;
220;21;16;7;
221;59;23;3;
222;11;11;3;
223;5;4;3;
224;5;5;2;
225;7;7;1;
226;24;18;3;
227;61;44;6;
228;7;5;2;
229;14;13;3;
301;8;7;3;
302;24;20;3;
303;19;19;3;
304;14;13;3;
305;10;8;6;
306;19;17;2;
307;8;8;3;
308;10;10;3;
309;20;15;1;
310;26;20;3;
311;8;8;2;
312;30;26;6;
313;16;14;2;
314;24;21;2;
315;12;10;3;
316;25;21;3;
317;20;19;3;
318;26;18;3;
319;70;52;6;
320;19;17;3;
321;26;22;3;
322;29;29;3;
323;25;21;3;
324;28;24;3;
325;17;12;3;
326;30;27;7;
327;13;12;3;
328;18;17;2;
329;20;18;3;
330;16;14;3;
331;17;14;3;
401;16;15;3;
402;51;41;7;
403;17;15;3;
404;20;19;3;
405;13;8;3;
406;7;5;3;
407;11;11;3;
408;25;23;4;
409;42;39;7;
410;15;14;3;
411;29;29;3;
412;16;16;3;
413;32;22;4;
414;21;19;3;
415;20;17;3;
416;11;6;6;
417;12;9;3;
418;13;12;3;
419;23;19;3;
420;17;13;3;
421;22;17;3;
422;36;13;3;
423;0;0;3;
424;11;9;3;
425;14;14;1;
426;9;9;3;
427;16;14;3;
428;31;27;3;
429;16;15;3;
430;19;15;6;
501;25;23;3;
502;22;14;3;
503;38;33;3;
504;32;31;3;
505;29;25;4;
506;22;21;3;
507;29;23;6;
508;18;17;3;
509;19;14;3;
510;17;13;3;
511;23;21;3;
512;28;25;3;
513;9;8;3;
514;29;21;6;
515;18;17;3;
516;25;18;3;
517;14;14;3;
518;11;10;3;
519;16;15;3;
520;20;15;3;
521;33;27;6;
522;8;8;3;
523;14;14;3;
524;16;15;3;
525;14;10;2;
526;17;16;3;
527;0;0;2;
