a;1.0;0.0;{{780619;2;0.05;0.0;[8, 23]};{780620;3;0.16666667;0.0;[5, 9, 15]};};
and;0.5;0.6931472;{{780619;2;0.05;0.03465736;[10, 25]};};
arbuckl;0.5;0.6931472;{{780619;1;0.025;0.01732868;[5]};};
birthdai;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[1]};};
cartoonist;0.5;0.6931472;{{780619;2;0.05;0.03465736;[9, 29]};};
cat;0.5;0.6931472;{{780619;2;0.05;0.03465736;[14, 24]};};
could;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[12]};};
entertain;0.5;0.6931472;{{780619;1;0.025;0.01732868;[36]};};
fee;0.5;0.6931472;{{780619;1;0.025;0.01732868;[38]};};
for;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[7]};};
garfield;1.0;0.0;{{780619;2;0.05;0.0;[15, 20]};{780620;1;0.055555556;0.0;[2]};};
happi;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[0]};};
have;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[4]};};
hi;0.5;0.6931472;{{780619;2;0.05;0.03465736;[0, 16]};};
i;1.0;0.0;{{780619;7;0.175;0.0;[2, 6, 12, 18, 21, 27, 34]};{780620;1;0.055555556;0.0;[3]};};
jon;0.5;0.6931472;{{780619;2;0.05;0.03465736;[4, 30]};};
little;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[16]};};
m;0.5;0.6931472;{{780619;4;0.1;0.06931472;[3, 7, 19, 22]};};
me;0.5;0.6931472;{{780619;1;0.025;0.01732868;[39]};};
mousei;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[11]};};
my;0.5;0.6931472;{{780619;2;0.05;0.03465736;[13, 28]};};
onli;0.5;0.6931472;{{780619;1;0.025;0.01732868;[32]};};
our;0.5;0.6931472;{{780619;1;0.025;0.01732868;[31]};};
rubber;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[10]};};
salt;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[17]};};
surpris;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[6]};};
there;0.5;0.6931472;{{780619;2;0.05;0.03465736;[1, 17]};};
thi;0.5;0.6931472;{{780619;2;0.05;0.03465736;[11, 26]};};
thought;0.5;0.6931472;{{780619;1;0.025;0.01732868;[33]};};
to;0.5;0.6931472;{{780619;1;0.025;0.01732868;[35]};};
us;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[14]};};
ve;0.5;0.6931472;{{780620;1;0.055555556;0.038508177;[13]};};
you;1.0;0.0;{{780619;1;0.025;0.0;[37]};{780620;1;0.055555556;0.0;[8]};};
